using device 0 NVIDIA GeForce RTX 3090
DEVICE: cuda
client_num: 1
tensor(0.4251, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0214, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0665, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0054, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0658, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0051, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0605, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0049, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0627, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0047, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0597, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0606, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0611, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0589, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0609, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0042, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0608, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0566, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0041, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0585, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0039, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0577, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0040, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0555, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0038, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0574, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0038, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0571, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0038, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0559, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0038, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0551, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0037, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.4347, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0236, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3686, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0249, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3074, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0232, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2531, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0224, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2139, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0226, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1822, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0230, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1547, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0218, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1273, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0182, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1144, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0199, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1086, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0190, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0958, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0172, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0921, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0163, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0881, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0153, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0862, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0149, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0900, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0153, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0856, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0134, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0851, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0123, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0885, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0865, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0857, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0108, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0825, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0103, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0841, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0807, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0095, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0791, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0087, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0768, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0735, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0726, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0715, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0710, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0686, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0667, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0063, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0641, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0059, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0630, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0059, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0616, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0605, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0055, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0596, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0053, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0613, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0053, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0616, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0051, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0596, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0050, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0589, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0048, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0580, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0047, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0571, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0045, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0577, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0580, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0561, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0563, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0041, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0581, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0550, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0041, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0552, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0547, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0039, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.4253, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0260, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3605, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0260, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2982, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0245, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2480, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0235, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2114, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0225, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1760, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0219, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1496, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0215, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1278, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0198, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1132, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0190, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1026, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0183, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0988, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0180, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0888, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0164, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0870, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0165, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0872, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0154, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0881, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0147, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0851, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0135, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0885, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0137, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0868, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0122, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0866, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0118, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0871, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0110, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0831, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0101, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0834, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0776, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0089, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0774, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0086, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0775, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0734, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0730, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0079, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0694, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0694, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0071, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0672, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0663, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0061, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0670, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0062, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0632, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0610, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0056, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0607, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0057, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0626, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0053, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0603, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0050, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0624, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0052, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0596, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0049, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0623, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0049, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0593, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0048, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0579, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0568, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0572, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0581, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0572, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0549, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0042, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0571, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0560, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0521, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0042, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.4252, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0256, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3551, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0252, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2946, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0244, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2454, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0237, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2052, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0236, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1723, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0229, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1466, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0209, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1332, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0217, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1127, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0196, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1029, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0189, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0972, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0184, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0922, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0181, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0855, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0155, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0848, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0144, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0867, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0149, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0859, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0138, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0850, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0129, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0868, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0124, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0838, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0115, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0841, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0109, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0854, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0107, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0824, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0100, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0797, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0093, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0788, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0090, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0759, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0082, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0745, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0081, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0737, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0077, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0707, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0073, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0690, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0072, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0694, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0068, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0656, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0064, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0634, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0061, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0622, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0060, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0614, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0056, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0602, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0055, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0609, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0052, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0590, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0051, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0599, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0049, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0608, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0051, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0621, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0049, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0589, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0048, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0590, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0047, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0587, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0045, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0556, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0562, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0044, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0570, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0578, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0045, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0540, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0042, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0542, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0557, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0041, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.4430, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0267, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3706, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0259, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.3133, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0274, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2563, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0236, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.2138, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0230, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1807, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0233, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1554, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0227, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1334, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0212, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.1163, device='cuda:0', grad_fn=<DivBackward0>) tensor(0.0202, device='cuda:0', grad_fn=<MeanBackward0>)
